Giocatore,Squadra,Ruolo,Età,Presenze,Gol,Assist,xG,Tiri,Velocita,KeyPasses,Dribbling,DuelliVinti,ProgressiveCarries,PassAccuracy
Reijnders,Olanda,CEN,26,30,6,7,4.4,32,78,52,4.6,66,4.8,88
De Ligt,Olanda,DIF,26,38,2,1,1.0,8,73,14,1.0,73,1.8,86
De Bruyne,Belgio,CEN,34,50,14,22,10.2,55,76,80,7.2,68,7.0,88
Lukaku,Belgio,ATT,32,52,28,10,21.4,105,78,38,3.8,55,4.0,80
Trossard,Belgio,ALA,30,40,12,10,9.2,52,84,50,6.2,58,5.6,84
Castagne,Belgio,DIF,29,38,2,5,1.4,14,76,22,1.8,65,2.2,84
Vertonghen,Belgio,DIF,38,50,3,2,1.4,10,68,14,1.0,72,1.6,85
Courtois,Belgio,POR,33,46,0,0,0.0,0,68,7,0.0,64,1.0,89
Doku,Belgio,ALA,23,32,10,9,7.6,48,94,52,8.2,59,6.2,82
Onana A.,Belgio,CEN,23,28,5,7,3.8,28,80,54,4.6,66,4.8,87
Vanaken,Belgio,CEN,32,40,7,9,5.2,34,74,58,4.8,68,5.0,86
Theate,Belgio,DIF,24,28,1,2,0.8,8,74,16,1.2,70,1.8,85
Modric,Croazia,CEN,40,50,8,12,5.8,35,72,72,5.8,70,5.6,88
Perisic,Croazia,ALA,36,48,12,14,9.2,52,80,54,5.8,60,5.2,83
Kovacic,Croazia,CEN,31,44,5,8,3.8,26,76,60,4.8,70,5.0,88
Kramaric,Croazia,ATT,34,44,16,10,12.4,65,76,42,4.4,54,4.2,83
Livakovic,Croazia,POR,30,38,0,0,0.0,0,66,6,0.0,62,0.9,87
Gvardiol,Croazia,DIF,23,36,4,4,2.2,16,78,20,1.6,72,2.2,87
Sucic,Croazia,CEN,23,28,6,7,4.4,30,78,52,4.4,64,4.6,86
Pasalic,Croazia,CEN,30,36,7,8,5.2,32,74,50,4.2,66,4.4,86
Sutalo,Croazia,DIF,24,26,1,2,0.8,8,74,14,1.0,70,1.6,85
Cavani,Uruguay,ATT,38,52,26,8,20.1,95,74,36,3.2,52,3.6,80
Suarez,Uruguay,ATT,38,50,22,12,17.4,88,72,40,3.4,51,3.8,79
Valverde F.,Uruguay,CEN,26,44,10,8,7.2,42,84,60,5.8,68,5.8,88
Nunez D.,Uruguay,ATT,26,38,18,8,13.8,72,86,38,4.4,55,4.6,82
De Arrascaeta,Uruguay,CEN,31,40,8,11,6.1,36,78,58,5.4,64,5.2,86
Muslera,Uruguay,POR,38,45,0,0,0.0,0,64,6,0.0,60,0.9,85
Gimenez J.,Uruguay,DIF,30,40,3,2,1.4,10,74,14,1.2,72,1.8,85
Caceres,Uruguay,DIF,38,44,1,2,0.8,8,68,12,0.9,68,1.4,83
Bentancur,Uruguay,CEN,28,38,4,6,2.8,22,76,52,4.0,68,4.4,87
Luis Diaz,Colombia,ALA,28,42,16,12,12.2,65,90,55,7.4,60,6.2,84
Falcao,Colombia,ATT,39,44,18,6,14.2,72,72,32,3.2,50,3.4,79
Cuadrado,Colombia,ALA,37,48,10,14,7.8,50,82,50,6.0,57,5.2,82
Arias,Colombia,DIF,27,34,2,4,1.2,12,78,22,1.6,66,2.2,84
Ospina,Colombia,POR,36,44,0,0,0.0,0,66,6,0.0,62,0.9,87
Barrios,Colombia,CEN,30,36,3,5,2.2,18,74,48,3.8,68,4.0,86
Munoz,Colombia,DIF,26,30,2,4,1.2,12,79,20,1.6,65,2.0,84
Borja,Colombia,ATT,32,34,12,5,9.4,50,76,30,3.4,51,3.6,81
Amrabat,Marocco,CEN,28,38,3,4,2.2,18,74,52,3.8,70,4.2,86
Hakimi,Marocco,DIF,26,40,5,8,3.2,22,84,30,2.8,68,3.0,87
Ziyech,Marocco,ALA,33,40,10,12,7.8,48,80,50,6.0,57,5.2,83
En-Nesyri,Marocco,ATT,28,36,14,5,10.8,60,78,34,3.8,53,4.0,81
Bounou,Marocco,POR,33,36,0,0,0.0,0,66,7,0.0,63,0.9,88
Aguerd,Marocco,DIF,29,32,2,1,1.0,8,72,14,1.0,72,1.6,85
Ounahi,Marocco,CEN,24,30,4,5,3.0,22,76,48,3.8,64,4.2,85
Saiss,Marocco,DIF,34,34,2,2,1.0,10,70,14,1.0,70,1.6,84
Mane,Senegal,ALA,33,48,20,12,15.4,78,88,50,6.4,58,5.6,82
Gueye,Senegal,CEN,35,44,4,6,2.8,22,76,52,3.8,68,4.2,86
Koulibaly,Senegal,DIF,33,46,4,2,2.0,12,74,14,1.2,74,1.8,86
Diatta,Senegal,ALA,26,34,9,8,7.0,44,86,44,5.8,56,5.0,83
Edouard Mendy,Senegal,POR,32,38,0,0,0.0,0,66,6,0.0,62,0.9,87
Sarr,Senegal,ALA,26,32,10,8,7.8,48,87,46,6.0,56,5.2,83
Diallo,Senegal,DIF,27,30,2,3,1.2,10,76,18,1.4,68,1.8,85
Diao,Senegal,CEN,21,24,5,6,3.8,28,80,46,4.2,62,4.4,85
Mitoma,Giappone,ALA,28,38,12,10,9.2,52,88,52,7.2,60,5.8,84
Kubo,Giappone,ALA,24,34,10,11,7.8,48,84,56,7.0,58,6.0,86
Endo,Giappone,CEN,32,44,4,6,2.8,22,74,54,3.8,70,4.2,88
Maeda,Giappone,ATT,27,32,12,6,9.4,52,82,36,4.2,54,4.2,81
Gonda,Giappone,POR,30,36,0,0,0.0,0,64,6,0.0,60,0.9,86
Itakura,Giappone,DIF,28,32,2,2,1.0,8,74,14,1.0,72,1.6,86
Kamada,Giappone,CEN,28,34,7,8,5.2,32,78,50,4.6,64,4.8,86
Tomiyasu,Giappone,DIF,26,32,1,3,0.8,8,76,18,1.2,68,1.8,86
Lozano,Messico,ALA,30,42,14,11,10.8,60,86,50,6.4,58,5.4,83
Jimenez,Messico,ATT,34,44,18,8,14.2,72,76,34,3.6,52,3.8,80
Guardado,Messico,CEN,39,50,6,10,4.4,30,72,58,4.4,66,4.6,86
Ochoa,Messico,POR,39,50,0,0,0.0,0,66,7,0.0,63,0.9,87
Alvarez E.,Messico,CEN,27,34,5,7,3.8,26,78,52,4.2,66,4.6,87
Moreno C.,Messico,DIF,28,30,1,3,0.8,8,74,16,1.2,68,1.8,84
Pulisic,USA,ALA,27,42,16,12,12.2,65,84,52,6.8,58,5.8,84
Reyna,USA,CEN,22,32,8,10,6.2,38,80,52,5.8,62,5.4,85
Turner,USA,POR,31,36,0,0,0.0,0,65,6,0.0,61,0.9,87
McKennie,USA,CEN,27,36,5,6,3.6,26,76,50,4.0,66,4.4,85
Dest,USA,DIF,25,30,2,4,1.2,12,78,22,1.6,64,2.0,84
Weah T.,USA,ALA,25,30,8,7,6.2,40,84,44,5.4,56,4.8,83
Hojlund,Svizzera,ATT,23,28,14,6,10.8,58,84,36,4.2,53,4.2,82
Eriksen,Svizzera,CEN,33,52,8,14,5.8,35,76,68,6.0,66,5.8,88
Maehle,Svizzera,DIF,28,38,3,7,2.0,16,80,26,2.2,66,2.6,85
Schmeichel K.,Svizzera,POR,38,44,0,0,0.0,0,65,6,0.0,61,0.9,86
Delaney,Svizzera,CEN,34,40,3,5,2.2,18,72,52,3.6,68,3.8,86
Skov Olsen,Svizzera,ALA,28,32,9,8,7.0,44,84,46,5.8,58,5.2,83
Christensen A.,Svizzera,DIF,29,36,2,2,1.0,8,73,14,1.0,72,1.6,86
Leckie,Australia,ALA,34,40,10,8,7.8,44,86,42,5.8,56,5.2,80
Irvine,Australia,CEN,32,44,4,6,2.8,22,74,48,3.6,66,4.0,84
Duke,Australia,ATT,29,34,12,4,9.4,52,78,30,3.4,52,3.6,79
Ryan,Australia,POR,33,42,0,0,0.0,0,64,6,0.0,60,0.9,86
Behich,Australia,DIF,33,36,1,3,0.8,8,76,20,1.4,64,1.8,82
Atkinson,Australia,DIF,24,24,1,2,0.6,6,77,16,1.2,66,1.6,83
McGree,Australia,CEN,27,30,4,5,3.0,24,78,40,3.2,62,3.8,82
